,,,,,perplexity,trainTime
GRU,128,2,False,250,1.105976561947726,0.609370231628418
GRU,128,3,True,50,3.9458678258271793,0.6099357604980469
GRU,128,3,True,100,1.439534193035674,0.6203422546386719
GRU,128,3,True,150,1.1521858959693545,0.6239526271820068
GRU,128,3,True,200,1.058777795181002,0.6278009414672852
GRU,128,3,True,250,1.0457814085572268,0.6139287948608398
GRU,128,3,False,50,3.7743587400746526,0.6175808906555176
GRU,128,3,False,100,1.4257965429834993,0.6224310398101807
GRU,128,3,False,150,1.1325301600916773,0.6205382347106934
GRU,128,3,False,200,1.0572890790669556,0.6288778781890869
GRU,128,3,False,250,1.036286038479583,0.6209394931793213
GRU,256,1,True,50,1.5314257785352166,0.8045792579650879
GRU,256,1,True,100,1.0490762490772172,0.7988932132720947
GRU,256,1,True,150,1.023969995091107,0.7929370403289795
GRU,256,1,True,200,1.0205904616728252,0.7965385913848877
GRU,256,1,True,250,1.019831238867294,0.8096499443054199
GRU,256,1,False,50,1.504590195892056,0.7999544143676758
GRU,256,1,False,100,1.052718247007175,0.8018572330474854
GRU,256,1,False,150,1.0280266159181655,0.7921352386474609
GRU,256,1,False,200,1.0366773578542117,0.7908549308776855
GRU,256,1,False,250,1.0142657512534308,0.7929751873016357
GRU,256,2,True,50,1.5111183009181688,0.802955150604248
GRU,256,2,True,100,1.0525360177798908,0.8068418502807617
GRU,256,2,True,150,1.0304560857607674,0.791407585144043
GRU,256,2,True,200,1.0218342552996276,0.7904243469238281
GRU,256,2,True,250,1.0164151707919817,0.788428783416748
GRU,256,2,False,50,1.4614014170147325,0.7941179275512695
GRU,256,2,False,100,1.0517111713497043,0.7980716228485107
GRU,256,2,False,150,1.0272145600283056,0.7949082851409912
GRU,256,2,False,200,1.026043887832259,0.7974247932434082
GRU,256,2,False,250,1.0183227233374923,0.7876520156860352
GRU,256,3,True,50,1.4924632896589292,0.8040359020233154
GRU,256,3,True,100,1.0454425347384386,0.795703649520874
GRU,256,3,True,150,1.0277658391567766,0.815819501876831
GRU,256,3,True,200,1.020251110463572,0.7879195213317871
GRU,256,3,True,250,1.0301259323300727,0.7928786277770996
GRU,256,3,False,50,1.5118286671793144,0.8074290752410889
GRU,256,3,False,100,1.0512083017439742,0.7968690395355225
GRU,256,3,False,150,1.0312038166212816,0.792884349822998
GRU,256,3,False,200,1.015212205478844,0.8029804229736328
GRU,256,3,False,250,1.032440820613472,0.8079743385314941
GRU,512,1,True,50,1.0464516341007761,1.21636962890625
GRU,512,1,True,100,1.0268442125165,1.2102980613708496
GRU,512,1,True,150,1.0170071830958938,1.2157373428344727
GRU,512,1,True,200,1.0165463011100935,1.2173540592193604
GRU,512,1,True,250,1.0142634234116081,1.212864637374878
GRU,512,1,False,50,1.0435405189771783,1.2097671031951904
GRU,512,1,False,100,1.0242799627973824,1.2098047733306885
GRU,512,1,False,150,1.0216527733322258,1.2097930908203125
GRU,512,1,False,200,1.0164081544469898,1.2108738422393799
GRU,512,1,False,250,1.0150386424510176,1.205777645111084
GRU,512,2,True,50,1.0509034363436855,1.2173550128936768
GRU,512,2,True,100,1.0245348530247314,1.2114808559417725
GRU,512,2,True,150,1.0176922602193632,1.2112324237823486
GRU,512,2,True,200,1.0198822028932633,1.2150795459747314
GRU,512,2,True,250,1.0213383783773915,1.2278285026550293
GRU,512,2,False,50,1.045788987731413,1.2167446613311768
GRU,512,2,False,100,1.0478746854651924,1.20790433883667
